model_name,model_id,arch,loss,norm,page,D,sz,bs,N,N_MAX,seed,fold,ep0,ep1,lr0,lr1,best,valid,tta,do_tta,sub,weight
ResS50BCEBN_P4_S96_D48_F0,1,ResS50,BCE,BN,4,48,96,16,72,128,888,0,5,15,5.0E-04,3.0E-04,0.919,0.916,0.917,TRUE,TRUE,0.1634432
ResS50BCEBN_P4_S96_D48_F1,1,ResS50,BCE,BN,4,48,96,16,72,128,888,1,5,15,5.0E-04,3.0E-04,0.927,0.900,0.908,FALSE,TRUE,0.1634432
ResS50BCEBN_P4_S96_D48_F2,1,ResS50,BCE,BN,4,48,96,16,72,128,888,2,5,15,5.0E-04,3.0E-04,0.931,0.917,0.926,TRUE,TRUE,0.1634432
ResS50BCEBN_P4_S96_D48_F3,1,ResS50,BCE,BN,4,48,96,16,72,128,888,3,5,15,5.0E-04,3.0E-04,0.917,0.915,0.921,TRUE,TRUE,0.1634432
ResS50BCEBN_P4_S96_D48_F4,1,ResS50,BCE,BN,4,48,96,16,72,128,888,4,5,15,5.0E-04,3.0E-04,0.930,0.930,0.926,FALSE,TRUE,0.1634432
ResS50BCEGN_P3_S192_D48_F0,2,ResS50,BCE,GN,3,48,192,8,40,96,999,0,5,15,3.0E-04,1.0E-04,0.943,0.933,0.953,TRUE,TRUE,0.23154211
ResS50BCEGN_P3_S192_D48_F1,2,ResS50,BCE,GN,3,48,192,8,40,96,999,1,5,20,3.0E-04,1.0E-04,0.935,0.928,0.932,TRUE,TRUE,0.23154211
ResS50BCEGN_P3_S192_D48_F2,2,ResS50,BCE,GN,3,48,192,8,40,96,999,2,5,20,3.0E-04,1.0E-04,0.950,0.928,0.943,TRUE,TRUE,0.23154211
ResS50BCEGN_P3_S192_D48_F3,2,ResS50,BCE,GN,3,48,192,8,40,96,999,3,5,20,3.0E-04,1.0E-04,0.918,0.917,0.920,TRUE,TRUE,0.23154211
ResS50BCEGN_P3_S192_D48_F4,2,ResS50,BCE,GN,3,48,192,8,40,96,999,4,5,20,3.0E-04,1.0E-04,0.936,0.924,0.927,TRUE,TRUE,0.23154211
ResX50BCEGN_P2_S384_D48_F0,3,ResX50,BCE,GN,2,48,384,8,10,48,2020,0,5,20,3.0E-04,1.0E-04,0.913,0.890,0.917,TRUE,TRUE,0.22470396
ResX50BCEGN_P2_S384_D48_F1,3,ResX50,BCE,GN,2,48,384,8,10,48,2020,1,5,20,3.0E-04,1.0E-04,0.910,0.898,0.913,TRUE,TRUE,0.22470396
ResX50BCEGN_P2_S384_D48_F2,3,ResX50,BCE,GN,2,48,384,8,10,48,2020,2,5,20,3.0E-04,1.0E-04,0.935,0.929,0.935,FALSE,TRUE,0.22470396
ResX50BCEGN_P2_S384_D48_F3,3,ResX50,BCE,GN,2,48,384,8,10,48,2020,3,5,20,3.0E-04,1.0E-04,0.921,0.903,0.917,FALSE,TRUE,0.22470396
ResX50BCEGN_P2_S384_D48_F4,3,ResX50,BCE,GN,2,48,384,8,10,48,2020,4,5,20,3.0E-04,1.0E-04,0.939,0.930,0.937,TRUE,TRUE,0.22470396
ResS50BCEGN_P4_S128_D64_F0,4,ResS50,BCE,GN,4,64,128,10,64,128,41,0,5,20,3.0E-04,1.0E-04,0.929,0.919,0.931,TRUE,TRUE,0.11717657
ResS50BCEGN_P4_S128_D64_F1,4,ResS50,BCE,GN,4,64,128,10,64,128,41,1,5,20,3.0E-04,1.0E-04,0.926,0.908,0.922,TRUE,TRUE,0.11717657
ResS50BCEGN_P4_S128_D64_F2,4,ResS50,BCE,GN,4,64,128,10,64,128,41,2,5,20,3.0E-04,1.0E-04,0.922,0.911,0.914,FALSE,TRUE,0.11717657
ResS50BCEGN_P4_S128_D64_F3,4,ResS50,BCE,GN,4,64,128,10,64,128,41,3,5,20,3.0E-04,1.0E-04,0.900,0.896,0.901,TRUE,FALSE,0
ResS50BCEGN_P4_S128_D64_F4,4,ResS50,BCE,GN,4,64,128,10,64,128,41,4,5,20,3.0E-04,1.0E-04,0.912,0.903,0.902,TRUE,FALSE,0
ResX50BCEGN_P3_S256_D64_F0,5,ResX50,BCE,GN,3,64,256,6,32,64,1954,0,5,15,3.0E-04,1.0E-04,0.915,0.920,0.924,TRUE,TRUE,0.11895013
ResX50BCEGN_P3_S256_D64_F1,5,ResX50,BCE,GN,3,64,256,6,32,64,1954,1,5,15,3.0E-04,1.0E-04,0.917,0.903,0.909,TRUE,TRUE,0.11895013
ResX50BCEGN_P3_S256_D64_F2,5,ResX50,BCE,GN,3,64,256,6,32,64,1954,2,5,15,3.0E-04,1.0E-04,0.932,0.934,0.930,FALSE,TRUE,0.11895013
ResX50BCEGN_P3_S256_D64_F3,5,ResX50,BCE,GN,3,64,256,6,32,64,1954,3,5,15,3.0E-04,1.0E-04,0.924,0.914,0.921,TRUE,TRUE,0.11895013
ResX50BCEGN_P3_S256_D64_F4,5,ResX50,BCE,GN,3,64,256,6,32,64,1954,4,5,15,3.0E-04,1.0E-04,0.925,0.925,0.935,TRUE,TRUE,0.11895013
ResS50BCEGN_P2_S512_D64_F0,6,ResS50,BCE,GN,2,64,512,8,4,48,1948,0,5,20,3.0E-04,1.0E-04,0.924,0.922,0.928,TRUE,TRUE,0.14418404
ResS50BCEGN_P2_S512_D64_F1,6,ResS50,BCE,GN,2,64,512,8,4,48,1948,1,5,20,3.0E-04,1.0E-04,0.924,0.920,0.929,TRUE,TRUE,0.14418404
ResS50BCEGN_P2_S512_D64_F2,6,ResS50,BCE,GN,2,64,512,8,4,48,1948,2,5,20,3.0E-04,1.0E-04,0.933,0.913,0.934,TRUE,TRUE,0.14418404
ResS50BCEGN_P2_S512_D64_F3,6,ResS50,BCE,GN,2,64,512,8,4,48,1948,3,5,20,3.0E-04,1.0E-04,0.904,0.904,0.904,TRUE,FALSE,0
ResS50BCEGN_P2_S512_D64_F4,6,ResS50,BCE,GN,2,64,512,8,4,48,1948,4,5,20,3.0E-04,1.0E-04,0.904,0.889,0.894,TRUE,FALSE,0
